title,budget,location,posted,proposals,badges,description,link,score
爬蟲 、IP切換、全端、LLM、Verified Vibe Coding之AI / 矩陣自動化開發工程師,"$120,000",可遠端,2026/05/21,5,長期,甲.擅以AI協助作業，有意突破現狀，具破局思維及合作意向之夥伴或團隊，請留言LINE ID及電話詳談細節。 乙.合作內容…,https://www.tasker.com.tw/cases/TK26052101GAMC36,6
本人需求徵才WhatsApp AI 貿易助手與自動化情報系統開發,"$100,000",台北市,2026/03/24,22,"急件, 長期",用於哪個行業： 細節說明：專案背景： 本人經營跨國鐘錶批發貿易，每日需處理數百個 WhatsApp 交易群組。訊息量極大…,https://www.tasker.com.tw/cases/TK26031914UAOP10,5
全端程序員：PVA帳號池、活體偵測、爬蟲、帶檢測的 AI 協作、資料庫。,"$120,000",可遠端,2026/05/18,8,長期,甲.擅以AI協助作業，有意突破現狀，具破局思維及合作意向之夥伴或團隊，請留言LINE ID及電話詳談細節。 乙.合作內容…,https://www.tasker.com.tw/cases/TK26051303KXJG39,4
熟帳號池(PVA)、爬蟲、活檢、VPN、資料庫、全端、Verified Vibe Coding之AI程序員,"$120,000",可遠端,2026/05/13,2,長期,甲.有意突破現狀，具破局思維，對本商業模式有合作意向之夥伴或團隊，請留言LINE ID及電話詳談細節。 乙.合作內容： …,https://www.tasker.com.tw/cases/TK26051118UXTX65,4
網頁 前端/後端/全端 開發,"$8,000",可遠端,2026/04/20,49,長期,我正在尋求專家可以提供網頁 前端/後端/全端 開發相關服務，服務內容 請參考：&lt;a href='https://www.…,https://www.tasker.com.tw/cases/TK26041804EWBP78,4
AI代理人設計與原型開發規劃,"$30,000",可遠端,2026/05/20,25,"長期, 需發票",背景與目標：我希望委外協助設計一個可落地的AI代理人，用於自動化處理日常工作流程與資訊整理，並在可控的成本與風險下，先完…,https://www.tasker.com.tw/cases/TK26051715RGIO37,3
AI 膚質分析系統開發工程師 (專案制/兼職),"$15,000",可遠端,2026/05/05,34,長期,開發並完善基於 LINE LIFF 的 AI 膚質診斷系統。本專案核心在於將前端 Med……..,https://www.tasker.com.tw/cases/TK26050201PCDI56,3
GCP 雲端架構師/數據工程師】DSA 自動化運算平台與報表系統建置（兼職/專案）,"$30,000",可遠端,2026/05/04,20,"急件, 長期",🟢 專案背景 本專案已完成初步數據管道建置（Excel/Google Sheets……..,https://www.tasker.com.tw/cases/TK26050201SITT29,3
GCP雲端後台程式維護,"$10,000",新北市,2026/04/14,42,長期,用於哪個行業：行……..,https://www.tasker.com.tw/cases/TK26041115SRHV08,3
協助公司將進銷存／庫存／對帳 Excel 轉為 ERP 系統（含三年資料整理）,預算詳談,可遠端,2026/02/23,46,"長期, 需發票",我是小型公司負責人（一人公司），目前所有進銷存、庫存、訂單、金流、發票與對帳作業，過去三年皆以 Excel 手動處理，並…,https://www.tasker.com.tw/cases/TK26021013FCFS47,3
設計系統 app開發,"$50,000",新北市,2026/02/02,26,"急件, 長期",用於哪個行業：刺青 細……..,https://www.tasker.com.tw/cases/TK26012802MZQI20,3
醫療儀器管理系統開發全端工程師,"$300,000",台中市,2026/04/28,34,"長期, 需發票",用於哪個行業：醫療機構 細節說明： 徵人條件： 資深全端工程師 因客戶案件爆量 他們內聘的開發人力不足所以包給我的公司 …,https://www.tasker.com.tw/cases/TK26042514WWJF00,3
文創人才微型個人頁Web-App開發,"$40,000",可遠端,2026/04/23,25,"急件, 長期",用於哪個行業：文化創意產業 細節說明： 【產品簡介】 一款針對文化創意產業工作者的履歷展示工具 【外包專案需求】 目前多…,https://www.tasker.com.tw/cases/TK26042017RRPU31,3
